,summary,date
188,"Luxoft, a DXC Technology (NYSE: DXC) company, is working with CARIAD, the automotive software company of Volkswagen Group, to provide vehicle software development, testing, and integration services.",2022-05-24
189,"Shares of DXC Technology Co. rose 1.55% to $30.06 Monday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",2022-05-23
190,"Though price concessions and business terminations are likely to have hurt DXC Technology's (DXC) Q4 top line, cost-saving initiatives and lower interest expenses might have aided the bottom line.",2022-05-23
191,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,2022-05-23
192,"Shares of DXC Technology Co. sank 0.13% to $29.60 Friday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",2022-05-20
193,"Shares of DXC Technology Co. advanced 1.72% to $29.64 Thursday, on what proved to be an all-around grim trading session for the stock market, with the S&P...",2022-05-19
194,"Shares of DXC Technology Co. slipped 5.05% to $29.14 Wednesday, on what proved to be an all-around rough trading session for the stock market, with the S&P...",2022-05-18
195,"DXC Technology's (NYSE: DXC) Board of Directors today announced the appointment of president and CEO Mike Salvino to the additional position of board chairman and David Herzog as the lead independent director effective after the Company's Annual Meeting of Stockholders on July 26, 2022. Mr. Salvino succeeds Ian Read, who will be retiring from the board on that date.",2022-05-17
196,"Item 5.02 Departure of Directors or Certain Officers; Election of Directors;Appointment of Certain Officers; Compensatory Arrangements of Certain Officers.On May 17, 2022, the board of directors ... | May 17, 2022",2022-05-17
197,"Shares of DXC Technology Co. advanced 3.58% to $30.69 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P...",2022-05-17
198,DXC Technology's boa... DXC,2022-05-17
199,"Shares of DXC Technology Co. slumped 0.13% to $29.63 Monday, on what proved to be an all-around mixed trading session for the stock market, with the Dow...",2022-05-16
200,Leslie Picker joins the 'Halftime Report' to discuss what to expect from the SEC 13-F filings.,2022-05-16
201,"ASHBURN, Va., May 09, 2022--DXC Technology (NYSE: DXC) today announced that it will release financial results for the fourth quarter and full year of fiscal 2022 on Wednesday, May 25, 2022, at approximately 4:15 p.m. Eastern Daylight Time (EDT).",2022-05-09
202,"The news means that tens of millions of households could receive high-speed internet at no cost, according to the White House.",2022-05-09
203,"Shares of DXC Technology Co. slid 1.04% to $29.42 Friday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500...",2022-05-06
204,"Shares of DXC Technology Co. slid 3.76% to $29.73 Thursday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500...",2022-05-05
205,"Momentive (MNTV) delivered earnings and revenue surprises of 100% and 0.76%, respectively, for the quarter ended March 2022. Do the numbers hold clues to what lies ahead for the stock?",2022-05-04
206,"Shares of DXC Technology Co. rose 3.35% to $30.89 Wednesday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",2022-05-04
207,"Shares of DXC Technology Co. rallied 1.77% to $29.89 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",2022-05-03
