,summary,date
178,"Shares of PPL Corp. advanced 1.00% to $30.24 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",2022-05-26
179,PPL is likely to benefit from its domestic focus and the expansion of its clean power generation via the acquisition of Narragansett Electric from National Grid.,2022-05-26
180,"Staff article entitled June 2023 Options Now Available For PPL , about stock options, from Stock Options Channel.",2022-05-26
181,"Item 7.01 Regulation FD DisclosureOn June 9, 2022, members of PPL Corporation's senior managementwill host a virtual Investor Day with analysts and investors to discuss theCompany's business... | May 26, 2022",2022-05-26
182,PPL Corporation (NYSE: PPL) will host a virtual Investor Day on June 9 beginning at 10 a.m. Eastern Time to discuss the company's business strategy and long-term financial outlook. The event follows completion of PPL's strategic repositioning today with the company successfully closing on its acquisition of The Narragansett Electric Company.,2022-05-25
183,"Shares of PPL Corp. inched 0.27% higher to $29.94 Wednesday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",2022-05-25
184,"PPL Corporation (NYSE:PPL) announced today it has completed its acquisition of The Narragansett Electric Company from National Grid for approximately $3.8 billion, net of purchase price adjustments, following receipt of all necessary approvals.",2022-05-25
185,"ppl-20220525 UNITED STATES SECURITIES AND EXCHANGE COMMISSION Washington, D.C. 20549 FORM 8-K ... | May 25, 2022",2022-05-25
186,"Item 1.01 Entry into a Material Definitive AgreementIn connection with the Narragansett Electric Acquisition, on May 25, 2022,National Grid Seller and one or more of its subsidiaries and... | May 25, 2022",2022-05-25
187,"LOUISVILLE - As students across Kentucky prepare to graduate and move on to the next phase of their academic careers, the LG&E and KU Foundation is celebrating 10 standouts.The Foundation is... | May 25, 2022",2022-05-25
188,"PPL Corporation (PPL) ann... PPL, NGG",2022-05-25
189,"Shares of PPL Corp. inched 0.98% higher to $29.86 Tuesday, on what proved to be an all-around mixed trading session for the stock market, with the Dow Jones...",2022-05-24
190,"Former White House press secretary Jen Psaki will join MSNBC this fall in time for the 2022 midterm elections, NBCUniversal confirmed.",2022-05-24
191,"Shares of PPL Corp. rose 1.27% to $29.57 Monday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index rising...",2022-05-23
192,The Rhode Island Superior Court today cleared the way for PPL Corporation (NYSE: PPL) to acquire The Narragansett Electric Company from National Grid USA following a settlement agreement between PPL and the Rhode Island attorney general's office.,2022-05-23
193,"Item 8.01 Other EventsAs previously disclosed, on February 23, 2022, the Rhode Island Division ofPublic Utilities and Carriers , in response to an applicationfiled by PPL Corporation , PPL Rhode... | May 23, 2022",2022-05-23
194,"The Rhode Island Superior... PPL, NGG",2022-05-23
195,"ALLENTOWN - PPL Electric Utilities is proud to announce it has received the 2022 ENERGY STAR Partner of the Year Award from the U.S. Environmental Protection Agency and the U.S. Department of... | May 23, 2022",2022-05-23
196,"Despite being well-diversified and selecting less volatile high-yield generating stocks, SPHD’s portfolio has generated steady but low price growth. Read more.",2022-05-23
197,"Shares of PPL Corp. sank 0.54% to $29.21 Thursday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500 Index...",2022-05-19
198,"Item 5.07. Submission of Matters to a Vote of Security HoldersAt the Annual Meeting of Shareowners of PPL Corporation held onMay 18, 2022, the shareowners:Elected all nine nominees for the... | May 19, 2022",2022-05-19
199,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,2022-05-19
200,"Shares of PPL Corp. shed 0.07% to $29.37 Wednesday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500 Index...",2022-05-18
201,"PPL Corporation (NYSE:PPL) has strategically repositioned itself for long-term growth and success, is eager to showcase its strengths following a year of transition, and is focused on driving significant value for customers and shareowners, PPL President and Chief Executive Officer Vince Sorgi told shareowners today during PPL's annual meeting, which was held virtually.",2022-05-18
202,"Shares of PPL Corp. advanced 1.41% to $29.39 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",2022-05-17
203,"Shares of PPL Corp. inched 0.73% higher to $28.98 Monday, on what proved to be an all-around mixed trading session for the stock market, with the Dow Jones...",2022-05-16
204,Leslie Picker joins the 'Halftime Report' to discuss what to expect from the SEC 13-F filings.,2022-05-16
205,"Shares of PPL Corp. rallied 1.52% to $28.77 Friday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500 Index...",2022-05-13
206,"Ideally, your overall portfolio should beat the market average. But every investor is virtually certain to have both...",2022-05-13
207,,2022-05-13
